DatasetName: Luxembourg
Dimension: 980
Locations:
49525.555 5940.5557
49525.555 5940.5557
49738.89 6345.0
49608.332 6405.8335
49796.668 6155.5557
49828.61 5764.722
49757.777 6353.3335
49716.39 6490.0
49533.332 6316.6665
49716.39 6490.0
49616.668 6233.3335
49533.332 6316.6665
49501.39 6352.778
50053.332 5919.1665
49967.777 5890.278
50053.332 5919.1665
49623.61 6136.3887
49650.0 6050.0
49968.89 5931.9443
49988.89 5999.1665
49988.89 5999.1665
50140.555 6023.8887
49650.0 6050.0
49968.89 5931.9443
49938.61 6156.1113
49850.0 6116.6665
49541.39 6021.6665
49750.0 6200.0
49719.723 6200.0
49511.11 5873.8887
50053.332 5919.1665
50155.555 6053.3335
50155.555 6053.3335
49816.945 6088.0557
49888.055 6067.778
49523.89 6342.222
49538.055 6284.1665
50137.223 6075.0
49566.668 6116.6665
49623.61 6136.3887
49600.0 6150.0
49866.668 6216.6665
49866.668 6216.6665
49963.61 6124.1665
49540.832 6200.8335
49833.332 6382.778
50104.445 5946.1113
49963.61 6124.1665
49972.777 5941.9443
50038.332 5989.4443
49691.39 6388.3335
49816.668 6250.0
49816.668 6250.0
49623.61 6136.3887
49944.168 5785.8335
49710.0 6500.278
49854.445 6095.0
49800.0 5866.6665
49944.168 5785.8335
49658.332 6137.222
49926.668 6173.6113
49555.0 6287.5
49788.89 6286.6665
49816.668 6300.0
49985.277 6126.6665
49985.277 6126.6665
49836.668 5906.3887
49803.055 6000.0
49935.0 6208.8887
49511.11 5873.8887
49769.723 5982.222
50075.555 6046.6665
50001.668 6145.5557
50121.11 6000.278
49628.61 6278.0557
49717.777 6010.278
49717.777 6010.278
50064.445 5883.0557
50121.11 6000.278
50046.11 5878.0557
50064.445 5883.0557
49570.832 6280.5557
49960.277 5860.8335
49916.668 5783.3335
49916.668 5783.3335
49894.445 6163.6113
49700.0 6433.3335
49475.832 6042.222
49950.555 5796.1113
49897.5 6183.3335
49911.39 5995.5557
49561.945 6221.6665
49903.055 5780.0
49903.055 5780.0
49620.555 6073.3335
49967.223 6167.778
49967.223 6167.778
50078.89 5958.0557
49676.945 6123.8887
49696.11 5920.278
49811.39 6478.3335
49661.39 5919.1665
49866.668 6216.6665
49536.39 6029.4443
49830.0 6171.9443
49816.668 5866.6665
49562.777 6364.4443
49581.39 5966.9443
49965.0 5826.6665
49965.0 5826.6665
49525.555 5940.5557
49701.11 5967.222
49628.055 6104.4443
49701.11 5967.222
50010.555 6026.6665
49701.11 5967.222
49628.055 6104.4443
49641.945 6239.4443
50018.055 5948.8887
49853.055 6187.222
49716.668 6133.3335
49830.555 5854.4443
49830.555 5854.4443
49722.777 5927.5
49511.668 6356.9443
49511.668 6356.9443
49746.11 5971.9443
49716.668 6216.6665
49620.555 6268.6113
49797.777 6159.1665
49605.832 6258.8887
49582.5 5956.3887
49744.168 6170.8335
49718.89 6092.222
49683.332 5950.0
50181.668 6025.278
49933.055 6063.6113
49990.555 5857.5
49578.332 6058.8887
49578.332 6058.8887
49990.555 5857.5
49716.668 6133.3335
50010.277 5852.222
49506.39 6012.778
49830.555 6098.6113
49590.0 6316.1113
49590.0 6316.1113
49471.668 6365.8335
49775.0 6360.5557
49893.61 6044.722
49792.223 5975.8335
49804.168 6253.8887
49548.055 5928.8887
50099.445 5997.5
49548.055 5928.8887
49613.332 6218.8887
49695.277 5870.5557
49727.223 5986.3887
49695.277 5870.5557
50080.0 5975.5557
49460.832 6033.0557
49460.832 6033.0557
49955.832 5924.722
49786.668 6096.1113
49797.777 6504.1665
49786.668 6096.1113
49662.5 6302.778
49691.945 6002.222
49794.445 5821.6665
49794.445 5821.6665
49662.5 6302.778
49866.945 5773.3335
49866.945 5773.3335
49834.723 5742.778
49622.777 6107.778
49741.668 6114.4443
49548.89 6317.222
49546.39 5856.3887
49548.89 6317.222
49542.223 6150.0
49567.777 6285.0
49567.777 6285.0
49574.723 6034.722
49567.777 6285.0
50036.668 6131.1113
50055.832 6083.6113
49531.11 5847.222
49682.5 6289.1665
49691.945 6002.222
49779.723 5935.278
49546.39 5840.8335
49751.668 5957.5
49734.168 6319.4443
49916.945 6011.9443
49850.277 5901.3887
50080.0 5975.5557
50057.777 6037.5
49746.668 6260.278
49545.0 6366.9443
49488.61 6351.6665
49868.61 6267.778
49797.223 5953.8887
49773.61 5928.0557
49765.555 5890.8335
49765.555 5890.8335
49765.555 5890.8335
49960.277 5860.8335
49533.332 6316.6665
49562.5 6008.8887
49749.723 6083.0557
49749.723 6083.0557
49562.5 6008.8887
49656.945 6233.6113
49656.945 6233.6113
49830.832 5845.0
49960.832 6143.0557
49616.668 6166.6665
49717.5 6120.278
49717.5 6120.278
49801.668 5939.1665
49673.332 6400.8335
49673.332 6400.8335
49536.39 6029.4443
49960.277 5860.8335
49791.11 5934.722
49770.277 6109.1665
49770.277 6109.1665
49549.445 6000.278
49994.445 6013.0557
50012.777 6091.3887
49916.668 6000.0
49916.668 6000.0
49616.668 6133.3335
49916.668 6000.0
49770.277 6109.1665
49779.723 5809.4443
49558.332 5880.5557
49558.332 5880.5557
49811.668 5765.8335
49524.445 6129.722
50107.223 6007.778
49778.89 6441.3887
49783.89 5904.4443
49657.223 6000.278
49668.332 6330.278
49676.11 6315.5557
49616.668 6266.6665
49596.39 6260.0
50016.668 5860.8335
49950.0 6066.6665
49833.332 6100.0
49730.277 5843.8887
49833.332 6016.6665
49513.61 5896.1113
49577.5 5910.8335
49777.5 6150.5557
49848.055 6035.5557
50007.223 6146.6665
49646.668 6400.5557
49768.61 5820.0
50156.668 5978.6113
49653.61 6241.1113
49941.39 5882.778
49675.277 6008.8887
49786.945 6174.722
49789.168 5857.778
49509.168 6056.1113
49979.723 5910.8335
49742.223 5926.1113
49947.5 5979.1665
49701.668 5916.3887
49969.168 5923.0557
50011.668 5843.6113
49933.332 6066.6665
49833.332 6100.0
49755.277 5912.222
49833.332 6016.6665
49536.11 5893.0557
49567.5 5910.278
49855.555 6047.222
49631.39 6403.6113
49758.332 5826.9443
50145.832 5983.8887
49883.332 6200.0
49647.5 6260.0
49877.5 5887.222
50080.555 5921.6665
49900.0 5950.0
49700.0 5900.0
49616.668 6233.3335
49566.668 5933.3335
49619.445 6240.0
49616.39 6156.6665
49623.61 6136.3887
50028.89 6066.6665
49855.555 6047.222
49789.168 5857.778
49948.332 6129.4443
49629.168 6267.5
50033.61 6038.6113
49693.89 6442.222
49784.723 6310.8335
49680.277 6130.0
49631.668 6119.1665
49680.277 6130.0
49585.277 6255.5557
49733.332 6216.6665
49700.0 6116.6665
49738.332 6500.0
49748.89 6106.1113
49533.055 5988.3335
49505.0 6281.1113
49533.055 5988.3335
49746.11 6465.0
49867.777 6239.4443
49768.055 6116.6665
49738.332 6500.0
49866.668 5833.3335
49866.668 5833.3335
49818.61 6020.278
49818.61 6020.278
49818.61 6020.278
49900.0 6091.9443
49761.668 6188.8887
49833.89 6007.5
49833.89 6007.5
49696.11 6481.3887
49954.723 6106.9443
49871.945 5972.5
49954.723 6106.9443
49871.945 5972.5
49748.89 6106.1113
49603.332 6095.5557
49962.5 5981.6665
49962.5 5981.6665
49962.5 5981.6665
49816.668 5866.6665
49962.5 5981.6665
49650.832 6303.6113
49691.11 6059.1665
49572.777 6248.6113
49801.945 6218.3335
50040.832 6017.5
49923.332 5872.222
50040.832 6017.5
49923.332 5872.222
49600.0 6250.0
49883.332 5900.0
50117.5 5992.778
49930.832 6037.222
49900.0 6209.1665
49866.945 5773.3335
49954.723 6106.9443
50053.332 6061.9443
49710.0 6061.6665
50051.668 6074.722
49702.777 6426.3887
49627.5 6023.3335
49800.0 5866.6665
49757.777 6353.3335
49716.668 6183.3335
49789.445 5839.722
49789.445 5839.722
49701.668 5916.3887
49810.555 5918.6113
49733.332 6133.3335
49668.332 6330.278
49700.0 5983.3335
49779.723 5935.278
49516.668 6166.6665
49883.332 6233.3335
49750.0 5850.0
49700.0 6283.3335
49566.668 5933.3335
49766.668 6450.0
49822.223 5855.8335
49516.668 5850.0
49833.332 6183.3335
49655.555 6434.4443
49655.555 6434.4443
49611.668 6130.0
49611.668 6130.0
49909.445 5890.8335
50060.0 5941.9443
49859.445 5851.1113
49859.445 5851.1113
49694.723 6142.5
49694.723 6142.5
49898.89 6205.278
49530.277 6120.278
49918.61 6086.6665
49715.832 6133.6113
49565.832 5886.6665
49620.832 6121.6665
49558.89 5980.5557
50124.445 6110.0
49910.0 5877.5
49739.723 5856.6665
49568.332 6065.278
49611.668 6130.0
50070.0 5978.0557
49598.61 6368.0557
49983.61 6014.4443
49799.445 6086.1113
49983.61 6014.4443
49716.11 6436.3887
50160.832 6108.8887
49800.0 6100.0
49790.0 6388.3335
50119.168 6083.3335
49525.0 5837.5
49776.945 6221.1113
49798.61 5835.278
49789.445 5839.722
49924.445 6130.278
49620.832 6121.6665
49546.39 5856.3887
49546.39 5856.3887
49516.668 5850.0
49596.668 5875.8335
49596.668 5875.8335
49870.555 5903.0557
49791.945 6132.778
49701.668 5916.3887
49701.668 5916.3887
49535.555 6146.9443
49670.0 5950.0
49664.445 6073.0557
49974.723 6054.1665
49838.055 5840.278
49670.0 5950.0
49728.332 6210.278
49561.11 6112.222
50069.445 6070.5557
50069.445 6070.5557
49750.277 6306.1113
49741.945 6018.6113
50013.332 5964.722
49741.945 6018.6113
50054.723 6031.3887
49532.5 6355.278
50019.445 5968.0557
49646.39 5916.3887
49623.89 6149.4443
49903.332 6135.0
49674.723 6320.5557
49694.445 6069.4443
49900.832 6037.222
49668.332 6035.8335
49489.168 6039.722
49952.777 6020.0
49921.39 5903.0557
49739.445 5970.5557
49866.668 6233.3335
49634.445 6355.8335
49645.0 5990.8335
49644.445 5984.4443
49778.332 5895.0
50102.777 6113.0557
49631.39 5917.778
49707.223 6253.0557
49883.332 6200.0
49716.668 6366.6665
49716.668 6366.6665
49816.668 5950.0
49584.168 6173.6113
49474.445 6079.4443
49950.555 5796.1113
49950.555 5796.1113
49901.668 5884.722
49851.945 6134.722
49697.5 6197.5
49599.723 6387.778
49736.11 5898.6113
50096.11 6059.1665
49696.668 6131.6665
49516.945 6065.0
50164.723 6015.0
50181.668 6025.278
50164.723 6015.0
50133.332 6066.6665
49722.5 5907.222
49950.0 5800.0
49810.0 5866.6665
49650.832 6235.0
49810.0 5866.6665
49650.832 6235.0
50017.777 6093.3335
49938.61 6156.1113
49938.61 6156.1113
49973.055 6091.6665
49947.223 6081.6665
49810.555 5918.6113
49810.555 5918.6113
49810.555 5918.6113
50083.332 6000.0
49985.0 6073.3335
49616.39 5990.278
49807.223 5791.6665
49807.223 5791.6665
49602.5 6124.1665
50123.61 6049.4443
49713.055 6050.8335
49947.223 6081.6665
49632.5 6220.8335
50099.723 5923.3335
49883.89 6258.0557
49566.668 5933.3335
49632.5 6220.8335
49688.61 5914.722
49607.223 5932.222
49776.39 6515.278
49873.055 5931.1113
49568.055 6151.3887
49750.277 6328.6113
49873.055 5931.1113
49741.668 6427.778
49734.445 6336.1113
49652.777 6141.3887
49687.223 6143.6113
49506.668 6150.5557
49857.223 5880.5557
49950.555 5796.1113
49857.223 5880.5557
49668.61 6142.222
50046.11 5904.1665
49668.61 6142.222
50096.11 6088.0557
49903.61 5962.222
49888.89 5978.8887
49762.5 6241.3887
49683.332 5933.3335
49950.0 6066.6665
49833.332 6016.6665
49825.0 5751.1113
49848.055 6035.5557
49768.61 5820.0
49577.5 5910.8335
50156.668 5978.6113
49520.832 6186.6665
49548.61 6209.1665
49931.39 5790.0
49606.945 6168.6113
50046.11 5904.1665
49812.5 6282.5
49857.223 5880.5557
49649.445 5931.6665
49687.777 6365.5557
49566.668 5933.3335
49873.055 5931.1113
50108.055 5923.3335
49900.0 5900.0
49835.0 6331.3887
49616.668 6133.3335
49984.445 5872.5
49984.445 5872.5
49827.777 5967.222
49880.277 6221.9443
49762.5 6033.8887
50083.332 6060.0
49673.332 6400.8335
49674.723 6441.9443
49762.5 6033.8887
49762.5 6033.8887
49633.332 6200.0
49633.332 6200.0
49853.055 5915.8335
49853.055 5915.8335
49831.945 6093.0557
49583.89 6359.1665
49709.723 5988.3335
49734.723 6287.222
49630.832 5891.3887
49630.832 5891.3887
49936.945 6101.6665
49660.277 5981.6665
49619.168 6354.4443
49726.39 6116.9443
49921.668 5968.3335
49921.668 5968.3335
49688.89 6248.3335
49660.277 5981.6665
49660.277 5981.6665
49921.668 5968.3335
49822.223 5855.8335
50149.168 6013.3335
50149.168 6013.3335
49669.723 5965.278
49922.5 6054.1665
49728.89 6231.9443
50149.168 6013.3335
49742.223 6480.0
49742.223 6480.0
49767.223 6498.8887
49777.777 6499.4443
49767.223 6498.8887
49866.945 6182.5
49759.168 6387.778
49750.0 6000.0
49585.555 6123.0557
49616.668 5952.5
49600.0 6166.6665
49695.277 5870.5557
50107.223 6007.778
49666.668 6416.6665
49666.668 6416.6665
49515.0 6191.6665
49816.668 5866.6665
49915.555 6196.1113
50181.668 6025.278
49938.61 6156.1113
49903.61 5962.222
49814.168 5874.722
49843.055 6204.1665
49529.445 6010.8335
49899.168 5812.778
49836.11 5789.1665
49661.668 6343.6113
49836.11 5789.1665
49836.11 5789.1665
49836.11 5789.1665
50075.277 6068.8887
50075.277 6068.8887
49739.723 6187.222
49695.277 5870.5557
49759.168 6041.1113
49603.61 5900.8335
49623.89 6202.778
49532.5 6248.3335
49855.555 6047.222
49511.11 5873.8887
49650.0 6050.0
49750.0 6200.0
49511.11 5873.8887
49816.668 6116.6665
49799.445 6086.1113
49531.11 5847.222
49533.332 6316.6665
49866.668 5833.3335
49866.945 5773.3335
49859.445 5851.1113
49634.445 6355.8335
49883.332 6166.6665
49633.332 6200.0
49933.332 5800.0
49666.668 6416.6665
49843.055 6204.1665
49933.332 5800.0
50150.0 6050.0
49511.11 5873.8887
49507.5 6287.5
49616.668 6216.6665
49531.11 5847.222
49562.777 6153.8887
50012.777 6091.3887
49519.723 6078.3335
49776.945 6221.1113
49933.332 6216.6665
49774.168 5955.5557
49847.5 6104.1665
49847.5 6104.1665
49778.89 6116.6665
50062.777 6003.6113
49711.39 6310.5557
49997.777 5948.8887
49711.39 6310.5557
49911.39 5936.3887
49495.832 5980.5557
49950.555 5796.1113
49823.055 5888.3335
49886.11 5936.6665
49911.39 5936.3887
49495.832 5980.5557
49911.39 5936.3887
49574.445 6275.5557
49864.723 6114.722
49544.445 6327.5
49978.055 5948.6113
49864.723 6114.722
49544.445 6327.5
49978.055 5948.6113
49765.832 6221.9443
49675.555 6247.222
49510.277 5943.6113
49829.445 6222.778
49844.445 6249.722
49999.445 5992.778
49599.723 6387.778
50093.61 5956.6665
50093.61 5956.6665
49486.945 6291.6665
49724.723 5917.778
49505.277 6316.3887
49724.723 5917.778
49505.277 6316.3887
49778.332 5895.0
49778.332 5895.0
49520.0 6298.3335
49763.89 5857.222
49686.668 6185.278
49685.555 5878.6113
49628.89 6131.9443
49717.5 5950.0
49599.723 6387.778
50093.61 5956.6665
50093.61 5956.6665
49524.168 5966.1113
49548.89 6016.9443
49805.555 6422.222
49480.555 6087.5
49480.555 6087.5
50133.61 6019.1665
50133.61 6019.1665
50133.61 6019.1665
49617.223 6393.8887
50017.777 6006.1113
