DatasetName: Randomset
Dimension: 71
Locations:
41.09 80.39
92.6 62.27
78.65 65.35
55.47 44.63
14.91 17.72
74.65 54.68
21.49 19.83
0.91 54.07
18.23 10.3
91.82 35.4
71.66 19.61
45.91 31.61
19.04 52.47
81.72 94.61
80.74 89.19
3.0 87.49
37.78 81.61
53.57 39.36
29.72 15.94
76.23 40.6
0.99 98.06
78.0 61.57
95.13 79.6
46.33 64.25
29.56 67.46
6.19 79.41
43.35 68.62
49.45 10.79
59.26 65.02
65.68 72.0
85.54 57.46
30.16 47.88
98.05 67.94
70.02 99.81
34.75 56.81
69.37 80.72
11.03 85.43
98.26 79.03
68.58 15.11
82.32 29.09
30.8 3.05
39.34 44.93
64.93 77.29
90.99 78.88
60.86 49.65
77.85 98.82
30.42 74.41
90.71 80.83
30.02 50.26
68.0 86.02
46.74 96.46
12.39 97.92
99.97 92.99
50.8 56.55
46.78 42.01
10.36 64.04
74.98 53.23
65.4 74.92
44.79 62.02
73.2 5.23
92.21 32.0
5.36 8.12
6.18 6.72
7.73 8.64
5.02 7.34
7.92 8.12
9.5 7.92
8.89 9.26
8.43 9.83
9.0 8.6
5.7 9.5
